PaperId	RecommendedPaperId	Method	StudyScore	StudyRankByMethod	StudyRankGlobal	CooccurrenceCnt	Similarity	EmbSimilarity	TfIdfSimilarity	ComputedRankByMethod	ComputedRankGlobal
8380203	990833580	Content	2	1	1	0	0.6212117	0.760458469	0.296302676	2	2
8380203	2161456244	Content	2	1	1	0	0.567940652	0.767112136	0.103207253	8	8
8380203	2770952319	Content	1	3	3	0	0.561498	0.7278883	0.173253909	10	10
8380203	2385254328	Content	1	3	3	0	0.577904046	0.7524327	0.1706706	5	5
8380203	2004630429	Content	1	3	3	0	0.5735526	0.7567867	0.146006465	6	6
8380203	2090904736	Content	1	3	3	0	0.6453914	0.7932476	0.30039373	1	1
8380203	2501701099	Content	1	3	3	0	0.616186261	0.821002841	0.138280839	4	4
8380203	2799963480	Content	1	3	3	0	0.621057868	0.762931347	0.29001984	3	3
8380203	2214010676	Content	1	3	3	0	0.5734177	0.756130338	0.1470882	7	7
8380203	2827082621	Content	1	3	3	0	0.5644854	0.730679	0.176700264	9	9
10004740	2124499489	Behavior	5	1	1	26	0.9998876	0	0	2	2
10004740	2050619059	Behavior	5	1	1	12	0.9713379	0	0	10	10
10004740	2081212507	Behavior	5	1	1	31	0.9999848	0	0	1	1
10004740	2143430537	Behavior	5	1	1	13	0.980417132	0	0	8	8
10004740	71912906	Behavior	5	1	1	12	0.9713379	0	0	9	9
10004740	2250734828	Behavior	5	1	1	13	0.980417132	0	0	7	7
10004740	2579353374	Behavior	5	1	1	16	0.993935764	0	0	4	4
10004740	2187303655	Behavior	5	1	1	24	0.9997499	0	0	3	3
10004740	641710284	Behavior	5	1	1	14	0.9867015	0	0	6	6
10004740	2133046612	Behavior	4	10	13	14	0.9867015	0	0	5	5
10004740	292317273	Content	5	1	1	0	0.6940385	0.880883634	0.2580665	8	
10004740	2187759337	Content	5	1	1	0	0.696149945	0.8725035	0.284658253	6	
10004740	2186589590	Content	5	1	1	0	0.69094044	0.8974384	0.209111914	9	
10004740	1848399277	Content	3	4	14	0	0.715399742	0.888070345	0.31250158	1	
10004740	2064293828	Content	3	4	14	0	0.694077253	0.88615793	0.245888963	7	
10004740	2808084195	Content	3	4	14	0	0.6906717	0.880978763	0.246621758	10	
10004740	2250545651	Content	2	7	17	0	0.705805242	0.8763689	0.307823449	2	
10004740	2293809338	Content	2	7	17	0	0.6986057	0.8894036	0.253410727	5	
10004740	2612423962	Content	2	7	17	0	0.6992915	0.8907846	0.252474338	4	
10004740	2579000943	Content	1	10	20	0	0.705667	0.8896995	0.2762579	3	
14093493	2080995683	Content	5	1	1	0	0.6997919	0.833527744	0.3877417	9	9
14093493	1553528455	Content	4	2	2	0	0.733224452	0.904098868	0.334517479	2	2
14093493	2171123955	Content	4	2	2	0	0.73130393	0.904613256	0.3269155	3	3
14093493	18012864	Content	4	2	2	0	0.7291505	0.8916787	0.349917918	4	4
14093493	1971516653	Content	4	2	2	0	0.702246964	0.84406805	0.371331066	7	7
14093493	2360142322	Content	3	6	6	0	0.6989174	0.859689	0.323783666	10	10
14093493	1603746806	Content	3	6	6	0	0.735848248	0.8363978	0.5012325	1	1
14093493	2013221875	Content	3	6	6	0	0.6999922	0.8462233	0.3587863	8	8
14093493	2776744006	Content	3	6	6	0	0.7211079	0.8630807	0.38983804	5	5
14093493	2561088063	Content	3	6	6	0	0.7118824	0.864586651	0.355572581	6	6
17855702	2162514427	Behavior	5	1	1	19	0.998157859	0	0	1	1
17855702	1526426957	Behavior	4	2	6	4	0.7006562	0	0	5	
17855702	2168341514	Behavior	4	2	6	5	0.75	0	0	4	
17855702	2045732064	Behavior	3	4	11	5	0.75	0	0	2	9
17855702	2133443878	Behavior	3	4	11	4	0.7006562	0	0	6	
17855702	2135482287	Behavior	3	4	11	4	0.7006562	0	0	7	
17855702	2145817751	Behavior	3	4	11	4	0.7006562	0	0	8	
17855702	1823329909	Behavior	2	8	16	3	0.6550128	0	0	9	
17855702	1971781829	Behavior	2	8	16	3	0.6550128	0	0	10	
17855702	2145247429	Behavior				5	0.75	0	0	3	10
17855702	2076229597	Content	5	1	1	0	0.7614422	0.902727365	0.431776762	7	8
17855702	2795787758	Content	5	1	1	0	0.775715351	0.911055565	0.4599216	4	5
17855702	2807444099	Content	5	1	1	0	0.769726336	0.9179513	0.423868179	5	6
17855702	2021705512	Content	5	1	1	0	0.826516867	0.945457757	0.548988044	1	2
17855702	2301010118	Content	4	5	6	0	0.7244645	0.8909915	0.3359015	10	
17855702	1975768832	Content	4	5	6	0	0.799654245	0.907730162	0.5474772	3	4
17855702	2623555226	Content	4	5	6	0	0.743485153	0.890934348	0.39943707	9	
17855702	2474534420	Content	3	8	11	0	0.746399939	0.8927837	0.404837757	8	
17855702	2060873306	Content	2	9	16	0	0.8170876	0.946581841	0.5149344	2	3
17855702	2550071087	Content	2	9	16	0	0.7618699	0.921289563	0.389890641	6	7
18494276	56381253	Content	5	1	1	0	0.815276	0.8626895	0.704644561	3	3
18494276	139707518	Content	5	1	1	0	0.832373738	0.86666137	0.752369344	2	2
18494276	2398455998	Content	5	1	1	0	0.7924067	0.850371242	0.65715605	4	4
18494276	150590437	Content	5	1	1	0	0.883449554	0.942487359	0.745694757	1	1
